BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
YKR072C,YNL260C,YDR197W,YDL175C,YBR257W,,YLL060C,YNL130C,YGR247W,YDL181W,,YPL172C,YMR085W,YGL065C
YLR238W,YNL292W,YDR236C,YDL203C,YBR261C,,YLR274W,YNL163C,YHR163W,YDL243C,,YPR025C,YMR099C,YGL168W
YML035C,YNL336W,YDR237W,YDR073W,YCL042W,,YLR328W,YNL272C,YIL009C-A,YDR073W,,YPR032W,YMR155W,YGL237C
YML078W,YNR032C-A,YDR249C,YDR090C,YCL052C,,YLR446W,YNL274C,YIR017C,YDR079C-A,,YCL069W,YMR208W,YGR035C
YMR078C,YOL010W,YDR296W,YDR108W,YCR005C,,YML035C,YPL013C,YJL062W-A,YDR108W,,YDR165W,YMR211W,YGR043C
YMR100W,YOL033W,YDR315C,YDR143C,YCR015C,,YMR078C,YPL122C,YJL063C,YDR109C,,YLR265C,YMR265C,YGR177C
YMR153W,YOL048C,YDR317W,YDR145W,YCR027C,,YMR173W,YPR124W,YJL183W,YDR116C,,YMR268C,YNL152W,YGR185C
YMR228W,YOL072W,YDR386W,YDR148C,YCR046C,,YMR313C,YBR036C,YJL194W,YDR121W,,,YNL290W,YGR193C
YMR258C,YOL137W,YDR399W,YDR197W,YCR069W,,YNL163C,YCR065W,YJL208C,YDR236C,,,YOL003C,YGR208W
YMR313C,YOR262W,YDR427W,YDR297W,YCR079W,,YNL217W,YDL075W,YJL209W,YDR237W,,,YOL111C,YGR232W
YNL130C,YOR378W,YDR478W,YDR323C,YCR083W,,YNL252C,YDL138W,YJR101W,YDR296W,,,YOL159C,YGR247W
YOL014W,YPL199C,YDR489W,YDR330W,YCR094W,,YNL274C,YDL169C,YJR142W,YDR321W,,,YOR008C-A,YHR008C
YOL159C-A,YBL055C,YDR515W,YDR362C,YDL007W,,YNL281W,YDR049W,YKL087C,YDR323C,,,YOR034C-A,YHR046C
YOR080W,YBR077C,YDR532C,YDR363W-A,YDL012C,,YOL053W,YDR462W,YKL137W,YDR346C,,,YOR074C,YHR071W
YOR164C,YDL097C,YDR533C,YDR480W,YDL017W,,YOL162W,YDR487C,YKL214C,YDR386W,,,YPL101W,YHR107C
