BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
,,YOR323C,YCR016W,YJL060W,,,,,YOR131C,,,,YPL111W
,,YOR344C,YCR043C,YJL062W-A,,,,,YOR155C,,,,YPL187W
,,YOR365C,YCR101C,YJL063C,,,,,YOR161C,,,,YPR093C
,,YPL034W,YDL075W,YJL091C,,,,,YOR177C,,,,
,,YPL051W,YDL078C,YJL096W,,,,,YOR193W,,,,
,,YPL092W,YDL083C,YJL104W,,,,,YOR197W,,,,
,,YPL101W,YDL099W,YJL127C,,,,,YOR211C,,,,
,,YPL171C,YDL146W,YJL143W,,,,,YOR279C,,,,
,,YPL183W-A,YDL182W,YJL155C,,,,,YOR302W,,,,
,,YPL245W,YDL189W,YJL156C,,,,,YOR323C,,,,
,,YPR003C,YDR092W,YJL166W,,,,,YOR344C,,,,
,,YPR011C,YDR218C,YJL183W,,,,,YOR350C,,,,
,,YPR013C,YDR235W,YJL194W,,,,,YOR357C,,,,
,,YPR066W,YDR256C,YJL209W,,,,,YPL034W,,,,
,,YPR111W,YDR319C,YJL210W,,,,,YPL051W,,,,
,,YPR159C-A,YDR425W,YJL217W,,,,,YPL171C,,,,
,,YPR175W,YDR429C,YJR101W,,,,,YPL183W-A,,,,
,,YPR176C,YDR462W,YJR115W,,,,,YPL188W,,,,
,,YAL015C,YDR473C,YJR141W,,,,,YPL196W,,,,
,,YAR003W,YDR508C,YJR142W,,,,,YPL199C,,,,
,,YAR023C,YDR531W,YKL016C,,,,,YPL219W,,,,
,,YBL011W,YEL001C,YKL071W,,,,,YPL244C,,,,
,,YBL018C,YEL016C,YKL086W,,,,,YPL259C,,,,
,,YBL055C,YEL066W,YKL116C,,,,,YPR011C,,,,
,,YBL056W,YER082C,YKL143W,,,,,YPR041W,,,,
,,YBR002C,YER180C,YKL145W,,,,,YPR108W,,,,
,,YBR007C,YER182W,YKL159C,,,,,YPR124W,,,,
,,YBR041W,YFL026W,YKL204W,,,,,YPR176C,,,,
,,YBR043C,YFR005C,YKL214C,,,,,YAL015C,,,,
,,YBR062C,YFR018C,YKL221W,,,,,YAR027W,,,,
,,YBR070C,YGL010W,YKR024C,,,,,YBL057C,,,,
,,YBR071W,YGL029W,YKR037C,,,,,YBL086C,,,,
,,YBR085C-A,YGL079W,YKR049C,,,,,YBR007C,,,,
,,YBR180W,YGL154C,YKR070W,,,,,YBR024W,,,,
,,YBR196C-B,YGL202W,YKR078W,,,,,YBR026C,,,,
,,YBR200W-A,YGL226C-A,YKR104W,,,,,YBR070C,,,,
,,YBR212W,YGR163W,YLL046C,,,,,YBR085C-A,,,,
,,YBR246W,YGR174W-A,YLL051C,,,,,YBR130C,,,,
,,YBR268W,YGR204C-A,YLL060C,,,,,YBR155W,,,,
,,YBR291C,YGR205W,YLR018C,,,,,YBR167C,,,,
,,YCL001W,YGR225W,YLR021W,,,,,YBR220C,,,,
,,YCL010C,YGR263C,YLR070C,,,,,YBR234C,,,,
,,YCL011C,YHL012W,YLR100W,,,,,YBR236C,,,,
,,YCL050C,YHR014W,YLR118C,,,,,YBR250W,,,,
,,YCL056C,YHR034C,YLR120C,,,,,YBR254C,,,,
,,YCR020C,YHR051W,YLR141W,,,,,YCL001W-A,,,,
,,YCR024C,YHR198C,YLR163C,,,,,YCL064C,,,,
,,YCR043C,YIL050W,YLR192C,,,,,YDL018C,,,,
,,YDL028C,YIL084C,YLR201C,,,,,YDL097C,,,,
,,YDL072C,YIL097W,YLR208W,,,,,YDL110C,,,,
,,YDL115C,YJL046W,YLR238W,,,,,YDL115C,,,,
,,YDL177C,YJL055W,YLR263W,,,,,YDL142C,,,,
,,YDL186W,YJL059W,YLR274W,,,,,YDL144C,,,,
,,YDL200C,YJR022W,YLR328W,,,,,YDL146W,,,,
,,YDL219W,YJR051W,YLR352W,,,,,YDL166C,,,,
,,YDR041W,YJR069C,YLR353W,,,,,YDL168W,,,,
,,YDR045C,YJR116W,YLR356W,,,,,YDR003W,,,,
,,YDR058C,YKL024C,YLR363W-A,,,,,YDR007W,,,,
,,YDR067C,YKL069W,YLR369W,,,,,YDR076W,,,,
,,YDR092W,YKL085W,YLR390W,,,,,YDR110W,,,,
,,YDR174W,YKL107W,YLR426W,,,,,YDR124W,,,,
,,YDR183W,YKL122C,YLR435W,,,,,YDR163W,,,,
,,YDR268W,YKL146W,YLR443W,,,,,YDR178W,,,,
,,YDR286C,YKR001C,YLR446W,,,,,YDR181C,,,,
,,YDR347W,YKR074W,YLR459W,,,,,YDR288W,,,,
,,YDR350C,YLL004W,YML019W,,,,,YDR339C,,,,
,,YDR410C,YLL009C,YML050W,,,,,YDR397C,,,,
,,YDR510W,YLL035W,YML071C,,,,,YDR487C,,,,
,,YDR541C,YLR151C,YML076C,,,,,YDR513W,,,,
,,YEL003W,YLR242C,YML081C-A,,,,,YDR517W,,,,
,,YER061C,YLR312C,YML098W,,,,,YEL017C-A,,,,
,,YER099C,YLR364W,YML111W,,,,,YER096W,,,,
,,YER115C,YLR380W,YML129C,,,,,YER128W,,,,
,,YER134C,YLR438C-A,YMR029C,,,,,YER148W,,,,
,,YER141W,YLR455W,YMR034C,,,,,YER185W,,,,
,,YFL026W,YML014W,YMR040W,,,,,YFL060C,,,,
,,YFL028C,YML018C,YMR065W,,,,,YFR018C,,,,
,,YFR049W,YML022W,YMR069W,,,,,YFR050C,,,,
,,YGL056C,YML047C,YMR085W,,,,,YGL080W,,,,
,,YGL080W,YML101C,YMR094W,,,,,YGL153W,,,,
,,YGL081W,YMR021C,YMR096W,,,,,YGL242C,,,,
,,YGL099W,YMR076C,YMR097C,,,,,YGL243W,,,,
,,YGL108C,YMR095C,YMR104C,,,,,YGR035W-A,,,,
,,YGL121C,YMR175W,YMR110C,,,,,YGR131W,,,,
,,YGL158W,YMR241W,YMR155W,,,,,YGR161C,,,,
,,YGL159W,YNL003C,YMR166C,,,,,YGR204W,,,,
,,YGL194C,YNL015W,YMR173W,,,,,YGR210C,,,,
,,YGL235W,YNL108C,YMR174C,,,,,YGR236C,,,,
,,YGL248W,YNL173C,YMR193W,,,,,YGR252W,,,,
,,YGL259W,YNL202W,YMR194C-B,,,,,YGR286C,,,,
,,YGL263W,YNL253W,YMR208W,,,,,YHR033W,,,,
,,YGR008C,YNL262W,YMR211W,,,,,YHR036W,,,,
,,YGR038W,YNL269W,YMR224C,,,,,YHR049W,,,,
,,YGR042W,YNL315C,YMR228W,,,,,YHR090C,,,,
,,YGR072W,YNL323W,YMR234W,,,,,YHR122W,,,,
,,YGR174W-A,YNL328C,YMR236W,,,,,YHR167W,,,,
,,YGR205W,YNR003C,YMR247W-A,,,,,YHR182W,,,,
,,YGR209C,YNR029C,YMR265C,,,,,YHR192W,,,,
,,YGR271C-A,YNR038W,YMR278W,,,,,YIL004C,,,,
,,YGR286C,YNR058W,YMR284W,,,,,YIL049W,,,,
,,YHL015W,YNR064C,YMR289W,,,,,YIR039C,,,,
,,YHL019C,YOL077W-A,YMR292W,,,,,YJL043W,,,,
,,YHR022C-A,YOL107W,YMR305C,,,,,YJL077C,,,,
,,YHR039C,YOL129W,YMR315W-A,,,,,YJL141C,,,,
,,YHR118C,YOR094W,YNL002C,,,,,YJL144W,,,,
,,YHR143W-A,YOR142W,YNL005C,,,,,YJR095W,,,,
,,YHR151C,YOR220W,YNL010W,,,,,YJR096W,,,,
,,YHR179W,YOR226C,YNL041C,,,,,YKL007W,,,,
,,YIL003W,YOR246C,YNL107W,,,,,YKL040C,,,,
,,YIL023C,YOR297C,YNL113W,,,,,YKL070W,,,,
,,YIL034C,YOR349W,YNL131W,,,,,YKL096W,,,,
,,YIL044C,YPL108W,YNL152W,,,,,YKL162C,,,,
,,YIL050W,YPL172C,YNL163C,,,,,YKL183W,,,,
,,YIL097W,YPL178W,YNL191W,,,,,YKL222C,,,,
,,YIR004W,YPL193W,YNL240C,,,,,YKR002W,,,,
,,YIR015W,YPL233W,YNL252C,,,,,YKR005C,,,,
,,YJL046W,YPL253C,YNL265C,,,,,YKR015C,,,,
,,YJL066C,YPR020W,YNL272C,,,,,YKR080W,,,,
,,YJL077W-B,YPR067W,YNL277W,,,,,YLL041C,,,,
,,YJL099W,YPR075C,YNL280C,,,,,YLL056C,,,,
,,YJL121C,YPR138C,YNL290W,,,,,YLR038C,,,,
,,YJL125C,YPR141C,YNL291C,,,,,YLR043C,,,,
,,YJL184W,YAL043C,YNL292W,,,,,YLR113W,,,,
,,YJL196C,YBL080C,YNL312W,,,,,YLR180W,,,,
,,YJR022W,YBL089W,YNR027W,,,,,YLR204W,,,,
,,YJR048W,YCR106W,YNR062C,,,,,YLR216C,,,,
,,YKL024C,YDL040C,YNR075W,,,,,YLR253W,,,,
,,YKL041W,YDL123W,YOL003C,,,,,YLR286C,,,,
,,YKL047W,YDL135C,YOL013W-A,,,,,YLR295C,,,,
,,YKL132C,YER038C,YOL033W,,,,,YLR412C-A,,,,
,,YKL167C,YER044C,YOL048C,,,,,YML036W,,,,
,,YKR026C,YFL051C,YOL068C,,,,,YML094W,,,,
,,YKR044W,YGL117W,YOL071W,,,,,YML116W,,,,
,,YKR060W,YGL231C,YOL072W,,,,,YMR021C,,,,
,,YLL033W,YGL250W,YOL088C,,,,,YMR092C,,,,
,,YLL035W,YGR077C,YOL093W,,,,,YMR121C,,,,
,,YLR016C,YGR132C,YOL104C,,,,,YMR171C,,,,
,,YLR049C,YGR142W,YOL111C,,,,,YMR230W-A,,,,
,,YLR063W,YGR195W,YOL137W,,,,,YMR261C,,,,
,,YLR064W,YGR250C,YOL146W,,,,,YMR314W,,,,
,,YLR066W,YHL022C,YOL147C,,,,,YMR318C,,,,
,,YLR093C,YHR202W,YOL159C,,,,,YNL003C,,,,
,,YLR242C,YIL117C,YOL159C-A,,,,,YNL079C,,,,
,,YLR253W,YIR003W,YOL162W,,,,,YNL185C,,,,
,,YLR254C,YJL024C,YOL164W-A,,,,,YNL206C,,,,
,,YLR283W,YJL213W,YOR004W,,,,,YNL218W,,,,
,,YLR312C,YJR062C,YOR008C-A,,,,,YNL304W,,,,
,,YLR316C,YKL027W,YOR028C,,,,,YNL317W,,,,
,,YLR321C,YLR013W,YOR033C,,,,,YNR026C,,,,
,,YLR345W,YLR019W,YOR034C-A,,,,,YOL007C,,,,
,,YLR346C,YLR097C,YOR039W,,,,,YOL038W,,,,
,,YLR364W,YLR107W,YOR040W,,,,,YOL082W,,,,
,,YLR431C,YLR284C,YOR057W,,,,,YOL097W-A,,,,
,,YLR445W,YLR436C,YOR062C,,,,,YOR089C,,,,
,,YML014W,YLR449W,YOR074C,,,,,YPL015C,,,,
,,YML018C,YML119W,YOR131C,,,,,YPL059W,,,,
,,YML021C,YMR137C,YOR150W,,,,,YPL096W,,,,
,,YML038C,YNL096C,YOR155C,,,,,YPL107W,,,,
,,YMR004W,YNR048W,YOR157C,,,,,YPL208W,,,,
,,YMR013W-A,YOL030W,YOR161C,,,,,YPL247C,,,,
,,YMR018W,YOL116W,YOR177C,,,,,YPL253C,,,,
,,YMR084W,YOL131W,YOR193W,,,,,YPR085C,,,,
,,YMR121C,YOR012W,YOR224C,,,,,YPR133W-A,,,,
,,YMR156C,YOR070C,YOR236W,,,,,YPR196W,,,,
,,YMR158W,YPL097W,YOR250C,,,,,YBL040C,,,,
,,YMR314W,YPL098C,YOR262W,,,,,YBR169C,,,,
,,YMR315W,,YOR279C,,,,,YEL039C,,,,
,,YNL036W,,YOR285W,,,,,YFL044C,,,,
,,YNL090W,,YOR298W,,,,,YGR154C,,,,
,,YNL138W,,YOR302W,,,,,YGR231C,,,,
,,YNL153C,,YOR350C,,,,,YKL005C,,,,
,,YNL173C,,YOR357C,,,,,YKL172W,,,,
,,YNL204C,,YOR365C,,,,,YLR023C,,,,
,,YNL253W,,YPL013C,,,,,YMR119W,,,,
,,YNL288W,,YPL034W,,,,,YMR135C,,,,
,,YNL304W,,YPL041C,,,,,YNL213C,,,,
,,YNL323W,,YPL051W,,,,,YNL251C,,,,
,,YNL328C,,YPL092W,,,,,YNL259C,,,,
,,YNR024W,,YPL101W,,,,,YNL310C,,,,
,,YNR037C,,YPL130W,,,,,YOR271C,,,,
,,YNR040W,,YPL159C,,,,,YOR324C,,,,
,,YNR063W,,YPL171C,,,,,YPL132W,,,,
,,YNR064C,,YPL183W-A,,,,,YPL163C,,,,
,,YOL080C,,YPL188W,,,,,YPR056W,,,,
,,YOL095C,,YPL196W,,,,,,,,,
,,YOL125W,,YPL219W,,,,,,,,,
,,YOL133W,,YPL244C,,,,,,,,,
,,YOL151W,,YPL259C,,,,,,,,,
,,YOL164W,,YPR003C,,,,,,,,,
,,YOR022C,,YPR011C,,,,,,,,,
,,YOR045W,,YPR013C,,,,,,,,,
,,YOR106W,,YPR041W,,,,,,,,,
,,YOR115C,,YPR108W,,,,,,,,,
,,YOR120W,,YPR111W,,,,,,,,,
,,YOR137C,,YPR159C-A,,,,,,,,,
,,YOR174W,,YPR167C,,,,,,,,,
,,YOR201C,,YPR175W,,,,,,,,,
,,YOR237W,,YPR176C,,,,,,,,,
,,YOR246C,,YAL028W,,,,,,,,,
,,YOR293C-A,,YAR003W,,,,,,,,,
,,YOR311C,,YAR027W,,,,,,,,,
,,YOR327C,,YBL002W,,,,,,,,,
,,YOR339C,,YBL010C,,,,,,,,,
,,YOR376W-A,,YBL011W,,,,,,,,,
,,YPL003W,,YBL056W,,,,,,,,,
,,YPL047W,,YBL057C,,,,,,,,,
,,YPL096C-A,,YBL078C,,,,,,,,,
,,YPL134C,,YBL086C,,,,,,,,,
,,YPL166W,,YBL091C-A,,,,,,,,,
,,YPL168W,,YBR002C,,,,,,,,,
,,YPL173W,,YBR020W,,,,,,,,,
,,YPL178W,,YBR024W,,,,,,,,,
,,YPL209C,,YBR026C,,,,,,,,,
,,YPL257W,,YBR041W,,,,,,,,,
,,YPR015C,,YBR043C,,,,,,,,,
,,YPR017C,,YBR062C,,,,,,,,,
,,YPR091C,,YBR063C,,,,,,,,,
,,YPR200C,,YBR066C,,,,,,,,,
,,YBR173C,,YBR071W,,,,,,,,,
,,YBR201W,,YBR077C,,,,,,,,,
,,YBR213W,,YBR091C,,,,,,,,,
,,YBR262C,,YBR120C,,,,,,,,,
,,YDL064W,,YBR130C,,,,,,,,,
,,YDL092W,,YBR155W,,,,,,,,,
,,YDL180W,,YBR167C,,,,,,,,,
,,YDR044W,,YBR185C,,,,,,,,,
,,YDR125C,,YBR186W,,,,,,,,,
,,YDR200C,,YBR196C-B,,,,,,,,,
,,YDR304C,,YBR204C,,,,,,,,,
,,YDR322W,,YBR234C,,,,,,,,,
,,YDR529C,,YBR236C,,,,,,,,,
,,YEL059C-A,,YBR246W,,,,,,,,,
,,YER028C,,YBR250W,,,,,,,,,
,,YER168C,,YBR254C,,,,,,,,,
,,YFL056C,,YBR271W,,,,,,,,,
,,YFR017C,,YBR276C,,,,,,,,,
,,YGL054C,,YBR291C,,,,,,,,,
,,YGL119W,,YBR301W,,,,,,,,,
,,YGL191W,,YCL010C,,,,,,,,,
,,YGR111W,,YCL056C,,,,,,,,,
,,YGR226C,,YCL064C,,,,,,,,,
,,YHR044C,,YCR016W,,,,,,,,,
,,YHR061C,,YCR024C,,,,,,,,,
,,YIL006W,,YCR087C-A,,,,,,,,,
,,YIL089W,,YCR101C,,,,,,,,,
,,YIL111W,,YDL018C,,,,,,,,,
,,YIL134W,,YDL028C,,,,,,,,,
,,YIL138C,,YDL046W,,,,,,,,,
,,YJL003W,,YDL059C,,,,,,,,,
,,YJR025C,,YDL072C,,,,,,,,,
,,YJR030C,,YDL078C,,,,,,,,,
,,YJR120W,,YDL110C,,,,,,,,,
,,YKL098W,,YDL142C,,,,,,,,,
,,YKR041W,,YDL144C,,,,,,,,,
,,YKR055W,,YDL166C,,,,,,,,,
,,YLR003C,,YDL168W,,,,,,,,,
,,YLR015W,,YDL176W,,,,,,,,,
,,YLR033W,,YDL177C,,,,,,,,,
,,YLR042C,,YDL183C,,,,,,,,,
,,YLR065C,,YDL186W,,,,,,,,,
,,YLR104W,,YDL200C,,,,,,,,,
,,YLR190W,,YDL217C,,,,,,,,,
,,YLR268W,,YDL219W,,,,,,,,,
,,YLR297W,,YDL235C,,,,,,,,,
,,YLR315W,,YDR003W,,,,,,,,,
,,YLR461W,,YDR007W,,,,,,,,,
,,YML118W,,YDR041W,,,,,,,,,
,,YMR101C,,YDR045C,,,,,,,,,
,,YMR132C,,YDR049W,,,,,,,,,
,,YMR181C,,YDR059C,,,,,,,,,
,,YNL067W-B,,YDR067C,,,,,,,,,
,,YNL146W,,YDR076W,,,,,,,,,
,,YNR073C,,YDR110W,,,,,,,,,
,,YNR074C,,YDR124W,,,,,,,,,
,,YOL044W,,YDR152W,,,,,,,,,
,,YOR147W,,YDR162C,,,,,,,,,
,,YOR202W,,YDR177W,,,,,,,,,
,,YOR242C,,YDR178W,,,,,,,,,
,,YOR305W,,YDR181C,,,,,,,,,
,,YOR306C,,YDR183W,,,,,,,,,
,,YOR335C,,YDR218C,,,,,,,,,
,,YPL069C,,YDR225W,,,,,,,,,
,,YPL086C,,YDR231C,,,,,,,,,
,,YPR068C,,YDR253C,,,,,,,,,
,,YPR071W,,YDR256C,,,,,,,,,
,,YPR079W,,YDR259C,,,,,,,,,
,,,,YDR268W,,,,,,,,,
,,,,YDR286C,,,,,,,,,
,,,,YDR288W,,,,,,,,,
,,,,YDR319C,,,,,,,,,
,,,,YDR339C,,,,,,,,,
,,,,YDR347W,,,,,,,,,
,,,,YDR379W,,,,,,,,,
,,,,YDR397C,,,,,,,,,
,,,,YDR410C,,,,,,,,,
,,,,YDR473C,,,,,,,,,
,,,,YDR508C,,,,,,,,,
,,,,YDR510W,,,,,,,,,
,,,,YDR513W,,,,,,,,,
,,,,YDR517W,,,,,,,,,
,,,,YDR531W,,,,,,,,,
,,,,YDR541C,,,,,,,,,
,,,,YEL003W,,,,,,,,,
,,,,YEL016C,,,,,,,,,
,,,,YER061C,,,,,,,,,
,,,,YER066W,,,,,,,,,
,,,,YER082C,,,,,,,,,
,,,,YER096W,,,,,,,,,
,,,,YER099C,,,,,,,,,
,,,,YER115C,,,,,,,,,
,,,,YER128W,,,,,,,,,
,,,,YER134C,,,,,,,,,
,,,,YER148W,,,,,,,,,
,,,,YER180C,,,,,,,,,
,,,,YER182W,,,,,,,,,
,,,,YER185W,,,,,,,,,
,,,,YFL016C,,,,,,,,,
,,,,YFL028C,,,,,,,,,
,,,,YFL042C,,,,,,,,,
,,,,YFR039C,,,,,,,,,
,,,,YFR049W,,,,,,,,,
,,,,YFR050C,,,,,,,,,
,,,,YGL010W,,,,,,,,,
,,,,YGL029W,,,,,,,,,
,,,,YGL079W,,,,,,,,,
,,,,YGL081W,,,,,,,,,
,,,,YGL099W,,,,,,,,,
,,,,YGL108C,,,,,,,,,
,,,,YGL121C,,,,,,,,,
,,,,YGL153W,,,,,,,,,
,,,,YGL158W,,,,,,,,,
,,,,YGL171W,,,,,,,,,
,,,,YGL174W,,,,,,,,,
,,,,YGL194C,,,,,,,,,
,,,,YGL226C-A,,,,,,,,,
,,,,YGL235W,,,,,,,,,
,,,,YGL242C,,,,,,,,,
,,,,YGL243W,,,,,,,,,
,,,,YGL248W,,,,,,,,,
,,,,YGL259W,,,,,,,,,
,,,,YGL263W,,,,,,,,,
,,,,YGR008C,,,,,,,,,
,,,,YGR015C,,,,,,,,,
,,,,YGR020C,,,,,,,,,
,,,,YGR036C,,,,,,,,,
,,,,YGR038W,,,,,,,,,
,,,,YGR042W,,,,,,,,,
,,,,YGR072W,,,,,,,,,
,,,,YGR095C,,,,,,,,,
,,,,YGR109C,,,,,,,,,
,,,,YGR130C,,,,,,,,,
,,,,YGR131W,,,,,,,,,
,,,,YGR161C,,,,,,,,,
,,,,YGR204C-A,,,,,,,,,
,,,,YGR207C,,,,,,,,,
,,,,YGR209C,,,,,,,,,
,,,,YGR225W,,,,,,,,,
,,,,YGR263C,,,,,,,,,
,,,,YGR271C-A,,,,,,,,,
,,,,YHL019C,,,,,,,,,
,,,,YHL031C,,,,,,,,,
,,,,YHL039W,,,,,,,,,
,,,,YHR014W,,,,,,,,,
,,,,YHR022C-A,,,,,,,,,
,,,,YHR039C,,,,,,,,,
,,,,YHR049W,,,,,,,,,
,,,,YHR051W,,,,,,,,,
,,,,YHR090C,,,,,,,,,
,,,,YHR118C,,,,,,,,,
,,,,YHR122W,,,,,,,,,
,,,,YHR143W,,,,,,,,,
,,,,YHR143W-A,,,,,,,,,
,,,,YHR153C,,,,,,,,,
,,,,YHR160C,,,,,,,,,
,,,,YHR167W,,,,,,,,,
,,,,YHR192W,,,,,,,,,
,,,,YHR198C,,,,,,,,,
,,,,YHR210C,,,,,,,,,
,,,,YIL003W,,,,,,,,,
,,,,YIL004C,,,,,,,,,
,,,,YIL034C,,,,,,,,,
,,,,YIL049W,,,,,,,,,
,,,,YIL084C,,,,,,,,,
,,,,YIL127C,,,,,,,,,
,,,,YIL154C,,,,,,,,,
,,,,YIR004W,,,,,,,,,
,,,,YJL027C,,,,,,,,,
,,,,YJL037W,,,,,,,,,
,,,,YJL043W,,,,,,,,,
,,,,YJL055W,,,,,,,,,
,,,,YJL077W-B,,,,,,,,,
,,,,YJL099W,,,,,,,,,
,,,,YJL100W,,,,,,,,,
,,,,YJL103C,,,,,,,,,
,,,,YJL125C,,,,,,,,,
,,,,YJL144W,,,,,,,,,
,,,,YJL153C,,,,,,,,,
,,,,YJL184W,,,,,,,,,
,,,,YJL218W,,,,,,,,,
,,,,YJR048W,,,,,,,,,
,,,,YJR050W,,,,,,,,,
,,,,YJR057W,,,,,,,,,
,,,,YJR069C,,,,,,,,,
,,,,YJR078W,,,,,,,,,
,,,,YJR080C,,,,,,,,,
,,,,YJR082C,,,,,,,,,
,,,,YJR119C,,,,,,,,,
,,,,YJR124C,,,,,,,,,
,,,,YJR144W,,,,,,,,,
,,,,YKL003C,,,,,,,,,
,,,,YKL011C,,,,,,,,,
,,,,YKL021C,,,,,,,,,
,,,,YKL040C,,,,,,,,,
,,,,YKL041W,,,,,,,,,
,,,,YKL047W,,,,,,,,,
,,,,YKL069W,,,,,,,,,
,,,,YKL070W,,,,,,,,,
,,,,YKL085W,,,,,,,,,
,,,,YKL089W,,,,,,,,,
,,,,YKL095W,,,,,,,,,
,,,,YKL096W,,,,,,,,,
,,,,YKL107W,,,,,,,,,
,,,,YKL120W,,,,,,,,,
,,,,YKL122C,,,,,,,,,
,,,,YKL132C,,,,,,,,,
,,,,YKL141W,,,,,,,,,
,,,,YKL144C,,,,,,,,,
,,,,YKL146W,,,,,,,,,
,,,,YKL149C,,,,,,,,,
,,,,YKL162C,,,,,,,,,
,,,,YKL167C,,,,,,,,,
,,,,YKL195W,,,,,,,,,
,,,,YKR001C,,,,,,,,,
,,,,YKR005C,,,,,,,,,
,,,,YKR008W,,,,,,,,,
,,,,YKR026C,,,,,,,,,
,,,,YKR043C,,,,,,,,,
,,,,YKR061W,,,,,,,,,
,,,,YKR074W,,,,,,,,,
,,,,YLL006W-A,,,,,,,,,
,,,,YLL025W,,,,,,,,,
,,,,YLL041C,,,,,,,,,
,,,,YLL056C,,,,,,,,,
,,,,YLR016C,,,,,,,,,
,,,,YLR020C,,,,,,,,,
,,,,YLR038C,,,,,,,,,
,,,,YLR043C,,,,,,,,,
,,,,YLR051C,,,,,,,,,
,,,,YLR063W,,,,,,,,,
,,,,YLR085C,,,,,,,,,
,,,,YLR098C,,,,,,,,,
,,,,YLR103C,,,,,,,,,
,,,,YLR147C,,,,,,,,,
,,,,YLR151C,,,,,,,,,
,,,,YLR180W,,,,,,,,,
,,,,YLR216C,,,,,,,,,
,,,,YLR246W,,,,,,,,,
,,,,YLR254C,,,,,,,,,
,,,,YLR283W,,,,,,,,,
,,,,YLR295C,,,,,,,,,
,,,,YLR325C,,,,,,,,,
,,,,YLR380W,,,,,,,,,
,,,,YLR431C,,,,,,,,,
,,,,YLR438C-A,,,,,,,,,
,,,,YLR455W,,,,,,,,,
,,,,YML021C,,,,,,,,,
,,,,YML022W,,,,,,,,,
,,,,YML036W,,,,,,,,,
,,,,YML047C,,,,,,,,,
,,,,YML079W,,,,,,,,,
,,,,YML094W,,,,,,,,,
,,,,YML101C,,,,,,,,,
,,,,YML116W,,,,,,,,,
,,,,YMR013W-A,,,,,,,,,
,,,,YMR084W,,,,,,,,,
,,,,YMR092C,,,,,,,,,
,,,,YMR095C,,,,,,,,,
,,,,YMR139W,,,,,,,,,
,,,,YMR144W,,,,,,,,,
,,,,YMR148W,,,,,,,,,
,,,,YMR156C,,,,,,,,,
,,,,YMR158W,,,,,,,,,
,,,,YMR159C,,,,,,,,,
,,,,YMR161W,,,,,,,,,
,,,,YMR198W,,,,,,,,,
,,,,YMR230W-A,,,,,,,,,
,,,,YMR261C,,,,,,,,,
,,,,YMR315W,,,,,,,,,
,,,,YMR318C,,,,,,,,,
,,,,YNL015W,,,,,,,,,
,,,,YNL046W,,,,,,,,,
,,,,YNL062C,,,,,,,,,
,,,,YNL079C,,,,,,,,,
,,,,YNL090W,,,,,,,,,
,,,,YNL108C,,,,,,,,,
,,,,YNL138W,,,,,,,,,
,,,,YNL149C,,,,,,,,,
,,,,YNL153C,,,,,,,,,
,,,,YNL156C,,,,,,,,,
,,,,YNL157W,,,,,,,,,
,,,,YNL162W-A,,,,,,,,,
,,,,YNL177C,,,,,,,,,
,,,,YNL185C,,,,,,,,,
,,,,YNL202W,,,,,,,,,
,,,,YNL206C,,,,,,,,,
,,,,YNL218W,,,,,,,,,
,,,,YNL258C,,,,,,,,,
,,,,YNL275W,,,,,,,,,
,,,,YNL317W,,,,,,,,,
,,,,YNL332W,,,,,,,,,
,,,,YNR003C,,,,,,,,,
,,,,YNR024W,,,,,,,,,
,,,,YNR029C,,,,,,,,,
,,,,YNR037C,,,,,,,,,
,,,,YNR063W,,,,,,,,,
,,,,YOL007C,,,,,,,,,
,,,,YOL043C,,,,,,,,,
,,,,YOL056W,,,,,,,,,
,,,,YOL080C,,,,,,,,,
,,,,YOL082W,,,,,,,,,
,,,,YOL095C,,,,,,,,,
,,,,YOL097W-A,,,,,,,,,
,,,,YOL107W,,,,,,,,,
,,,,YOL125W,,,,,,,,,
,,,,YOL129W,,,,,,,,,
,,,,YOL133W,,,,,,,,,
,,,,YOL164W,,,,,,,,,
,,,,YOR020W-A,,,,,,,,,
,,,,YOR045W,,,,,,,,,
,,,,YOR068C,,,,,,,,,
,,,,YOR089C,,,,,,,,,
,,,,YOR094W,,,,,,,,,
,,,,YOR100C,,,,,,,,,
,,,,YOR106W,,,,,,,,,
,,,,YOR115C,,,,,,,,,
,,,,YOR137C,,,,,,,,,
,,,,YOR159C,,,,,,,,,
,,,,YOR174W,,,,,,,,,
,,,,YOR220W,,,,,,,,,
,,,,YOR226C,,,,,,,,,
,,,,YOR283W,,,,,,,,,
,,,,YOR297C,,,,,,,,,
,,,,YOR327C,,,,,,,,,
,,,,YOR339C,,,,,,,,,
,,,,YOR354C,,,,,,,,,
,,,,YOR367W,,,,,,,,,
,,,,YPL003W,,,,,,,,,
,,,,YPL015C,,,,,,,,,
,,,,YPL047W,,,,,,,,,
,,,,YPL059W,,,,,,,,,
,,,,YPL077C,,,,,,,,,
,,,,YPL096C-A,,,,,,,,,
,,,,YPL096W,,,,,,,,,
,,,,YPL108W,,,,,,,,,
