UNIQID	BY4743_log2_Fitness_Score_Rep1	BY4743_log2_Fitness_Score_Rep2	BY4743_log2_Fitness_Score_Rep3	BC187_log2_Fitness_Score_Rep1	BC187_log2_Fitness_Score_Rep2	BC187_log2_Fitness_Score_Rep3	DBVPG1373_log2_Fitness_Score_Rep1	DBVPG1373_log2_Fitness_Score_Rep2	DBVPG1373_log2_Fitness_Score_Rep3	YJM978_log2_Fitness_Score_Rep1	YJM978_log2_Fitness_Score_Rep2	YJM978_log2_Fitness_Score_Rep3	NCYC3290_log2_Fitness_Score_Rep1	NCYC3290_log2_Fitness_Score_Rep2	NCYC3290_log2_Fitness_Score_Rep3	Y12_log2_Fitness_Score_Rep1	Y12_log2_Fitness_Score_Rep2	Y12_log2_Fitness_Score_Rep3	YJM1389_log2_Fitness_Score_Rep1	YJM1389_log2_Fitness_Score_Rep2	YJM1389_log2_Fitness_Score_Rep3	YJM1592_log2_Fitness_Score_Rep1	YJM1592_log2_Fitness_Score_Rep2	YJM1592_log2_Fitness_Score_Rep3	YJM1273_log2_Fitness_Score_Rep1	YJM1273_log2_Fitness_Score_Rep2	YJM1273_log2_Fitness_Score_Rep3	YPS128_log2_Fitness_Score_Rep1	YPS128_log2_Fitness_Score_Rep2	YPS128_log2_Fitness_Score_Rep3	YPS163_log2_Fitness_Score_Rep1	YPS163_log2_Fitness_Score_Rep2	YPS163_log2_Fitness_Score_Rep3	YPS606_log2_Fitness_Score_Rep1	YPS606_log2_Fitness_Score_Rep2	Y2209_log2_Fitness_Score_Rep1	Y2209_log2_Fitness_Score_Rep2	Y2209_log2_Fitness_Score_Rep3	Y389_log2_Fitness_Score_Rep1	Y389_log2_Fitness_Score_Rep2	Y389_log2_Fitness_Score_Rep3	Y7568_log2_Fitness_Score_Rep1	Y7568_log2_Fitness_Score_Rep2	Y7568_log2_Fitness_Score_Rep3
YKL033W-A	-0.245112	-1.330149	-0.857981	-0.746243	-0.902703	-2.157541	-0.239951	-0.055853	-0.065724	0.00E+00	0.00E+00	0.00E+00	-1.050626	-0.610053	-0.732304	0.00E+00	0.00E+00	0.00E+00	-2.906891	-2.459432	-1	0.777608	-1.29956	-1.485427	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.164119	-0.325986	0.139403	0.00E+00	0.00E+00	-0.112475	-0.889817	-1.584963	-0.584963	0.36257	-1.854149	-1.093109	0.241008	-4.643856
YNR031C	-0.347923	-1.109624	-0.169925	-1.137504	-1.157541	-3.321928	0.00E+00	0.00E+00	0.00E+00	-0.569366	0.556393	0.540568	-1.655352	-0.280108	0.074001	-4.72792	-4.857981	1.206451	-5.247928	-3	-2.906891	0	-1	-0.836501	-0.252387	0	-0.325576	0.00E+00	0.00E+00	0.00E+00	-0.280108	-0.768674	0.341037	-0.191625	-3.263159	-1.093109	0.192645	-0.866733	-3.523562	-1.432959	-1.222392	-0.571906	-0.49304	-1.334419
YPL236C	-0.065402	0.366782	0.179594	-0.596935	-0.239754	-0.132586	0.098597	0.063592	0.119247	0.428365	0.25326	0.557857	-0.32022	0.272187	-0.371343	-0.715882	-0.662965	-1.049988	-0.170908	-0.260483	-0.145677	-0.252766	0.076396	0.144171	-0.174645	0.096215	0.209263	-0.615336	-0.867245	-1.047934	-0.119582	-0.495957	0.195396	-0.106736	-0.526194	0.016488	-0.213851	0.823411	0.712019	0.58218	0.438816	0.479352	0.528379	0.282035
YIR017C	0	-0.127235	0.085139	0.344216	0.022026	0.499571	-0.261705	-0.242075	-0.208865	0.564614	0.650926	0.268105	-0.038756	0.47063	0.146572	-1.11171	-0.650992	-0.541635	0.119299	-0.013939	0.489385	0.474243	-0.391112	0.611598	-0.720618	-0.371367	-1.405992	-1.083416	-0.694708	-0.965235	-0.619728	-1.023847	-0.573375	0.00E+00	0.00E+00	0.391579	0.452822	0.915111	0.300579	0.440997	0.403722	-0.210679	0.301381	0.097466
YMR292W	0.096215	0.202124	0.303595	0	-0.328623	-0.027745	-0.271805	-0.179801	-0.020368	0.175367	-0.051281	0.85257	-0.458031	0.032507	-0.025274	-0.485427	-0.881874	-1.658774	-0.485427	-0.182416	0.771731	0.62293	-0.028197	-0.033294	-0.70044	-0.435697	-0.910995	-0.105493	-0.207158	-1.241758	-0.641952	-0.684498	-0.825502	-0.310269	-0.627122	0.426573	0.929839	0.408374	0.380085	0.045804	0.435386	0.454115	0.460125	0.513624
YOR210W	0.071083	0.16665	0.245411	0.395565	0.187424	0.04171	-0.32484	0.131024	-0.388642	0.254771	0.316785	-0.105467	-1.321928	-0.972388	-0.576857	-0.864912	-1.026753	-1.17585	-0.26614	-0.231326	0.548621	-0.046543	0.382654	-0.466731	-0.713437	-0.753163	-0.456557	-0.651336	0.013547	-0.60311	-1.172061	-1	-1	-0.22162	-0.196488	0.109745	0.122947	1.381194	0.247625	-0.437621	-0.076524	0.244622	0.50943	0.148099
YJL127C-B	0.439379	0.302563	0.214125	0.466781	0.289045	0.030283	-0.742019	-0.265524	-0.70112	0.600338	0.537657	0.447638	-0.188072	-0.359765	-0.24552	-0.728698	-0.466731	-0.443607	-0.745817	-0.145717	-0.214809	0.071833	0.097926	-0.324435	-0.131006	-0.186219	-0.660758	-0.761213	-0.18799	-1.198329	-0.751424	-1.231947	-1.121991	0.61573	0.058769	0.411842	0.106371	0.518291	-0.061692	-0.55881	-0.454176	-0.012786	0.19117	0.39459
YCL063W	0.138575	0.314023	0.117085	-0.488191	-0.734858	-0.652077	0.019836	0.131943	0.09879	0.711875	0.250375	-0.108667	-0.137974	-0.398845	-0.195551	-1.306889	-0.461904	-1	-0.332355	-0.071553	-0.098628	-0.075027	-0.099224	-0.185266	-0.547488	-0.641546	-1.006726	0.33665	-0.747019	-1.051715	-0.484079	-0.672274	-0.022139	-0.306267	-1.142865	0.258976	0.470381	0.449526	0.047068	0.658787	0.274439	0.111217	0.099536	0.242945
YDL030W	-0.43105	-0.603341	-0.435502	-0.530515	-0.472488	-0.329308	-1.64689	-0.174029	-0.910203	-0.611435	-0.891747	0.036994	0.726624	0.330149	-1.054448	-2.174251	0.24664	-1.816693	-0.399803	-0.924051	-0.477702	-0.379772	-0.182377	1.178337	-0.263034	-0.232173	-0.370368	-1.163746	0.035624	-0.835506	-0.204358	-0.460783	-0.351675	0.073836	-0.341769	0.248744	0.258734	0.507342	-0.197681	-0.15788	-0.363547	0	0.075795	-0.017209
YLR117C	-0.149576	0.263034	-0.217591	0.218001	-0.499102	-0.171271	0	-0.351472	-0.662965	-0.352672	-0.666757	-0.607158	-1.088809	0.210567	-1.321928	-0.75269	-0.575115	-0.025091	-0.663717	-0.529467	-1.159199	0.834941	0.313815	-0.043069	0.13516	-0.308753	-0.823122	-0.683265	-0.909235	0.610053	-0.537894	-0.849378	-0.21864	0.230076	0.6868	-0.321928	-0.748938	-0.430634	0.244105	0.152003	0.256775	-0.358048	-0.569366	-0.456716
