BC187_Beneficial_Genes,BY4743_Beneficial_Genes,DBVPG1373_Beneficial_Genes,NCYC3290_Beneficial_Genes,Y12_Beneficial_Genes,Y2209_Beneficial_Genes,Y389_Beneficial_Genes,Y7568_Beneficial_Genes,YJM1273_Beneficial_Genes,YJM1389_Beneficial_Genes,YJM1592_Beneficial_Genes,YJM978_Beneficial_Genes,YPS128_Beneficial_Genes,YPS163_Beneficial_Genes
YPL210C,YDL089W,,,,,YBR050C,YDR480W,,,,,,YLR103C
YPL224C,YDL121C,,,,,YBR065C,YDR532C,,,,,,YLR113W
YPL243W,YDL203C,,,,,YCR015C,YEL006W,,,,,,YLR204W
YPR037C,YDR065W,,,,,YCR069W,YER012W,,,,,,YLR226W
YPR061C,YDR116C,,,,,YDL129W,YER161C,,,,,,YLR286C
YPR108W-A,YDR121W,,,,,YDR073W,YER163C,,,,,,YLR312C
YAL020C,YDR148C,,,,,YDR090C,YFL029C,,,,,,YLR321C
YAL030W,YDR156W,,,,,YDR121W,YFL045C,,,,,,YMR092C
YBL006C,YDR332W,,,,,YDR346C,YFL052W,,,,,,YMR230W-A
YBL107C,YDR386W,,,,,YEL050C,YFR027W,,,,,,YMR315W
YBR050C,YDR399W,,,,,YEL056W,YGL018C,,,,,,YNL062C
YBR061C,YDR514C,,,,,YEL063C,YGL082W,,,,,,YNL173C
YBR065C,YDR515W,,,,,YER023W,YGL155W,,,,,,YNL177C
YBR088C,YER071C,,,,,YER067W,YGR016W,,,,,,YNL218W
YBR141C,YER094C,,,,,YER071C,YGR035C,,,,,,YNR063W
YBR253W,YER180C-A,,,,,YER080W,YGR043C,,,,,,YOL056W
YCR005C,YER186C,,,,,YER186C,YGR167W,,,,,,YOL080C
YCR083W,YFL017C,,,,,YFL029C,YGR193C,,,,,,YOL095C
YDL105W,YFR003C,,,,,YGL058W,YGR208W,,,,,,YOL129W
YDL120W,YFR027W,,,,,YGL063W,YGR254W,,,,,,YOL151W
YDL121C,YGL082W,,,,,YGL185C,YGR267C,,,,,,YOR115C
YDL129W,YGL258W,,,,,YGL258W,YHR017W,,,,,,YOR156C
YDL181W,YGR206W,,,,,YGR101W,YHR046C,,,,,,YOR226C
YDR065W,YHR075C,,,,,YGR127W,YHR071W,,,,,,YPL107W
YDR090C,YHR101C,,,,,YGR197C,YHR101C,,,,,,YPL233W
YDR116C,YHR110W,,,,,YGR208W,YHR140W,,,,,,YPR138C
YDR237W,YIL009C-A,,,,,YGR262C,YHR181W,,,,,,YCR036W
YDR249C,YIL057C,,,,,YHR008C,YHR191C,,,,,,YCR084C
YDR321W,YJL033W,,,,,YHR076W,YIL009C-A,,,,,,YCR106W
YDR363W-A,YJL060W,,,,,YHR181W,YIL051C,,,,,,YDL101C
YDR399W,YJL145W,,,,,YIL051C,YIL087C,,,,,,YDR044W
YDR478W,YJL217W,,,,,YIL057C,YIL132C,,,,,,YDR087C
YEL006W,YJR101W,,,,,YJL155C,YIL157C,,,,,,YDR202C
YER094C,YJR142W,,,,,YJL208C,YJL063C,,,,,,YDR311W
YER161C,YKL071W,,,,,YJL209W,YJR104C,,,,,,YDR373W
YER163C,YKL086W,,,,,YJR104C,YKL071W,,,,,,YDR465C
YFL027C,YKL214C,,,,,YKL087C,YKL086W,,,,,,YGL041C-B
YFL045C,YKR049C,,,,,YKL137W,YKL214C,,,,,,YGR077C
YGL018C,YKR104W,,,,,YKL191W,YKL221W,,,,,,YGR132C
YGL037C,YLL038C,,,,,YKR035W-A,YKR035W-A,,,,,,YHR005C
YGL067W,YLR021W,,,,,YKR049C,YKR037C,,,,,,YHR048W
YGL155W,YLR100W,,,,,YKR085C,YKR070W,,,,,,YHR202W
YGR004W,YLR201C,,,,,YLL038C,YLL046C,,,,,,YIL089W
YGR035C,YLR238W,,,,,YLR070C,YLR021W,,,,,,YJL003W
YGR053C,YLR356W,,,,,YLR141W,YLR120C,,,,,,YJL090C
YGR177C,YLR363W-A,,,,,YML019W,YLR201C,,,,,,YJL160C
YGR193C,YMR104C,,,,,YML081C-A,YLR390W,,,,,,YJR112W-A
YGR232W,YMR224C,,,,,YML098W,YLR408C,,,,,,YKR041W
YHR101C,YMR234W,,,,,YMR065W,YLR443W,,,,,,YLL055W
YHR110W,YMR289W,,,,,YMR079W,YML081C-A,,,,,,YLR023C
YIL009C-A,YMR292W,,,,,YMR096W,YML098W,,,,,,YLR104W
YIL099W,YMR297W,,,,,YMR166C,YMR065W,,,,,,YLR313C
YIL106W,YNL010W,,,,,YMR244C-A,YMR069W,,,,,,YLR461W
YIL132C,YNL058C,,,,,YMR270C,YMR079W,,,,,,YML029W
YJL023C,YNL113W,,,,,YNL005C,YMR085W,,,,,,YML054C-A
YJL096W,YNL152W,,,,,YNL032W,YMR096W,,,,,,YML066C
YJL104W,YNL274C,,,,,YNL265C,YMR289W,,,,,,YML107C
YJL194W,YNL277W,,,,,YNL277W,YMR292W,,,,,,YMR117C
YJL208C,YOL071W,,,,,YNL336W,YNL010W,,,,,,YMR244W
YJL210W,YOL104C,,,,,YNR027W,YNL113W,,,,,,YNL128W
YJL217W,YOL147C,,,,,YNR057C,YNL152W,,,,,,YNL270C
YJR101W,YOL162W,,,,,YOL013W-A,YNL191W,,,,,,YNL284C
YJR115W,YOR004W,,,,,YOL072W,YNL252C,,,,,,YOL143C
YJR141W,YOR008C-A,,,,,YOR039W,YNL281W,,,,,,YOR232W
YKL087C,YOR062C,,,,,YOR080W,YNL290W,,,,,,YOR238W
YKL116C,YOR177C,,,,,YOR164C,YNL292W,,,,,,YOR242C
YKL145W,YOR288C,,,,,YOR250C,YNR032C-A,,,,,,YOR305W
YKL159C,YPL013C,,,,,YOR288C,YNR057C,,,,,,YOR324C
YKR037C,YPL092W,,,,,YPL130W,YOL013W-A,,,,,,YPL052W
YKR049C,YPL121C,,,,,YPL188W,YOL071W,,,,,,YPL100W
YKR070W,YPL196W,,,,,YPR013C,YOL104C,,,,,,YPL109C
YLL038C,YPR108W,,,,,YBL018C,YOL111C,,,,,,YPR009W
YLR120C,YPR176C,,,,,YBL086C,YOL147C,,,,,,YPR107C
YLR141W,YAL018C,,,,,YBR186W,YOR008C-A,,,,,,YCL004W
YLR251W,YAL028W,,,,,YBR246W,YOR039W,,,,,,YCR076C
YLR390W,YAR023C,,,,,YCL010C,YOR040W,,,,,,YDR179W-A
YLR408C,YBL057C,,,,,YCR024C,YOR074C,,,,,,YDR228C
YLR426W,YBR007C,,,,,YDL110C,YOR131C,,,,,,YDR498C
YML098W,YBR043C,,,,,YDL138W,YOR161C,,,,,,YEL052W
YMR034C,YBR063C,,,,,YDL146W,YOR236W,,,,,,YGL057C
YMR069W,YBR085C-A,,,,,YDL166C,YOR285W,,,,,,YGR278W
YMR085W,YBR125C,,,,,YDL176W,YOR344C,,,,,,YHR111W
YMR094W,YBR196C-B,,,,,YDL200C,YPL041C,,,,,,YIL160C
YMR183C,YBR234C,,,,,YDR041W,YPL130W,,,,,,YLR082C
YMR194C-B,YBR254C,,,,,YDR045C,YPL244C,,,,,,YLR102C
YNL240C,YCL001W,,,,,YDR049W,YPR159C-A,,,,,,YLR262C-A
YNL265C,YCR016W,,,,,YDR152W,YAR023C,,,,,,YMR267W
YNL274C,YDL217C,,,,,YDR163W,YBL002W,,,,,,YNL293W
YNR027W,YDL219W,,,,,YDR174W,YBL086C,,,,,,YNL307C
YOL053W,YDR003W,,,,,YDR177W,YBR020W,,,,,,YNL326C
YOL071W,YDR041W,,,,,YDR181C,YBR024W,,,,,,YOL132W
YOL072W,YDR059C,,,,,YDR244W,YBR120C,,,,,,YOR213C
YOL111C,YDR152W,,,,,YER141W,YBR155W,,,,,,YPL139C
YOR039W,YDR397C,,,,,YFL016C,YBR196C-B,,,,,,YPR180W
YOR262W,YDR425W,,,,,YFL026W,YBR234C,,,,,,
YOR285W,YDR517W,,,,,YGL154C,YBR250W,,,,,,
YPL041C,YER061C,,,,,YGL202W,YBR254C,,,,,,
YPL121C,YER115C,,,,,YGL259W,YBR291C,,,,,,
YPR013C,YFR049W,,,,,YGR015C,YCR024C,,,,,,
YPR176C,YFR050C,,,,,YGR038W,YDL046W,,,,,,
YAL015C,YGL099W,,,,,YGR072W,YDL110C,,,,,,
YAR027W,YGL121C,,,,,YGR146C-A,YDL144C,,,,,,
YBR002C,YGL235W,,,,,YGR252W,YDL166C,,,,,,
YBR024W,YGL242C,,,,,YHL039W,YDL200C,,,,,,
YBR070C,YGR130C,,,,,YHR033W,YDR032C,,,,,,
YBR085C-A,YGR131W,,,,,YHR034C,YDR045C,,,,,,
YBR120C,YGR174W-A,,,,,YHR182W,YDR059C,,,,,,
YBR130C,YHR039C,,,,,YIL152W,YDR162C,,,,,,
YBR196C-B,YHR118C,,,,,YIL154C,YDR163W,,,,,,
YBR220C,YHR143W-A,,,,,YIR015W,YDR178W,,,,,,
YBR236C,YHR179W,,,,,YJL046W,YDR256C,,,,,,
YCR016W,YIL003W,,,,,YJL100W,YDR268W,,,,,,
YCR024C,YIL154C,,,,,YJR022W,YDR347W,,,,,,
YDL028C,YJL037W,,,,,YKL024C,YDR397C,,,,,,
YDL046W,YJL100W,,,,,YKL107W,YDR410C,,,,,,
YDL059C,YJL103C,,,,,YKR005C,YDR510W,,,,,,
YDL146W,YJR060W,,,,,YKR060W,YDR517W,,,,,,
YDL168W,YJR116W,,,,,YLL009C,YDR541C,,,,,,
YDL219W,YKL047W,,,,,YLL025W,YEL016C,,,,,,
YDR178W,YKL095W,,,,,YLL033W,YER115C,,,,,,
YDR181C,YKL120W,,,,,YLL035W,YER148W,,,,,,
YDR183W,YLR043C,,,,,YLR246W,YFR049W,,,,,,
YDR256C,YLR063W,,,,,YLR283W,YFR050C,,,,,,
YDR268W,YLR147C,,,,,YLR364W,YGL043W,,,,,,
YDR347W,YLR325C,,,,,YLR438C-A,YGL080W,,,,,,
YDR541C,YLR412C-A,,,,,YML038C,YGL099W,,,,,,
YER180C,YML021C,,,,,YML079W,YGL121C,,,,,,
YFL026W,YML038C,,,,,YML094W,YGL159W,,,,,,
YFL028C,YML069W,,,,,YML116W,YGL194C,,,,,,
YGL159W,YMR171C,,,,,YMR121C,YGR015C,,,,,,
YGL194C,YMR215W,,,,,YMR139W,YGR042W,,,,,,
YGL242C,YMR230W-A,,,,,YMR144W,YGR131W,,,,,,
YGL259W,YNL090W,,,,,YMR230W-A,YGR204C-A,,,,,,
YGR015C,YNL149C,,,,,YNL138W,YGR207C,,,,,,
YGR020C,YNL153C,,,,,YNL157W,YGR209C,,,,,,
YGR038W,YNL173C,,,,,YNL173C,YGR286C,,,,,,
YGR174W-A,YNL177C,,,,,YNL269W,YHR049W,,,,,,
YGR204C-A,YNL202W,,,,,YNL315C,YHR051W,,,,,,
YGR205W,YNR003C,,,,,YNL332W,YHR143W-A,,,,,,
YGR209C,YNR029C,,,,,YNR029C,YHR160C,,,,,,
YGR236C,YNR038W,,,,,YNR063W,YHR167W,,,,,,
YHL039W,YOL043C,,,,,YNR064C,YHR192W,,,,,,
YHR034C,YOL056W,,,,,YOR022C,YHR210C,,,,,,
YHR049W,YOL077W-A,,,,,YOR159C,YIL003W,,,,,,
YHR167W,YOL107W,,,,,YOR220W,YIL004C,,,,,,
YHR179W,YOR137C,,,,,YOR367W,YIL044C,,,,,,
YHR192W,YOR293C-A,,,,,YOR376W-A,YIL127C,,,,,,
YIL024C,YPL107W,,,,,YPL096W,YIR004W,,,,,,
YIL044C,YPL108W,,,,,YPL108W,YIR015W,,,,,,
YIL154C,YPL213W,,,,,YPL134C,YJL055W,,,,,,
YIR004W,YPR075C,,,,,YPL193W,YJR024C,,,,,,
YIR015W,YPR085C,,,,,YPL208W,YJR057W,,,,,,
YJL037W,YAR002C-A,,,,,YAR015W,YJR060W,,,,,,
YJL055W,YBL068W,,,,,YCR019W,YJR082C,,,,,,
YJL153C,YBR076W,,,,,YCR095W-A,YJR116W,,,,,,
YJL184W,YBR217W,,,,,YDL069C,YKL021C,,,,,,
YJR048W,YCR036W,,,,,YDL107W,YKL024C,,,,,,
YJR057W,YDL040C,,,,,YDR044W,YKL040C,,,,,,
YJR060W,YDL064W,,,,,YDR222W,YKL167C,,,,,,
YJR080C,YDL114W,,,,,YDR246W-A,YLL025W,,,,,,
YJR095W,YDL135C,,,,,YDR373W,YLR016C,,,,,,
YKL085W,YDL211C,,,,,YDR529C,YLR038C,,,,,,
YKL107W,YDR179C,,,,,YEL004W,YLR066W,,,,,,
YKL167C,YDR202C,,,,,YFL044C,YLR254C,,,,,,
YKR005C,YDR222W,,,,,YGL019W,YLR283W,,,,,,
YLL006W-A,YDR359C,,,,,YGR129W,YLR438C-A,,,,,,
YLL035W,YDR460W,,,,,YGR132C,YML079W,,,,,,
YLL056C,YEL029C,,,,,YHL042W,YML094W,,,,,,
YLR016C,YGL117W,,,,,YHR108W,YML101C,,,,,,
YLR020C,YGL231C,,,,,YHR176W,YMR013W-A,,,,,,
YLR063W,YGR220C,,,,,YIL138C,YMR144W,,,,,,
YLR066W,YHL013C,,,,,YJL003W,YMR314W,,,,,,
YLR093C,YHR086W-A,,,,,YJR025C,YNL015W,,,,,,
YLR254C,YHR133C,,,,,YJR098C,YNL079C,,,,,,
YLR321C,YHR157W,,,,,YJR120W,YNL157W,,,,,,
YLR325C,YHR176W,,,,,YJR133W,YNL162W-A,,,,,,
YLR346C,YIL089W,,,,,YJR152W,YNL202W,,,,,,
YML014W,YIL098C,,,,,YKL049C,YOL097W-A,,,,,,
YML094W,YIL124W,,,,,YLR190W,YOL107W,,,,,,
YML116W,YIL138C,,,,,YLR268W,YOL129W,,,,,,
YMR018W,YJL003W,,,,,YLR284C,YOL133W,,,,,,
YMR121C,YJR120W,,,,,YLR327C,YOR100C,,,,,,
YMR139W,YKL023W,,,,,YML029W,YOR159C,,,,,,
YMR156C,YKL061W,,,,,YMR119W,YOR226C,,,,,,
YMR291W,YKR041W,,,,,YNL133C,YOR297C,,,,,,
YMR314W,YLL007C,,,,,YNL263C,YOR339C,,,,,,
YNL003C,YLL023C,,,,,YNL309W,YOR367W,,,,,,
YNL149C,YLR009W,,,,,YNL316C,YOR376W-A,,,,,,
YNL162W-A,YLR327C,,,,,YNR066C,YPL134C,,,,,,
YNL204C,YLR405W,,,,,YOR179C,YPL166W,,,,,,
YNR003C,YML054C-A,,,,,YOR242C,YPL193W,,,,,,
YNR064C,YML107C,,,,,YOR305W,YPR015C,,,,,,
YOL077W-A,YMR001C-A,,,,,YPL052W,YPR017C,,,,,,
YOL080C,YMR147W,,,,,YPL098C,YPR067W,,,,,,
YOL082W,YMR294W,,,,,YPL138C,YPR101W,,,,,,
YOL097W-A,YMR312W,,,,,YPL229W,YPR196W,,,,,,
YOL151W,YNL213C,,,,,YPL236C,YBR018C,,,,,,
YOL164W,YNL316C,,,,,YPR182W,YBR076W,,,,,,
YOR094W,YOL096C,,,,,YAL044C,YCR019W,,,,,,
YOR106W,YOL140W,,,,,YAL064C-A,YCR095W-A,,,,,,
YOR201C,YOR196C,,,,,YBR158W,YDL055C,,,,,,
YOR286W,YOR229W,,,,,YCR076C,YDL064W,,,,,,
YOR297C,YOR238W,,,,,YDR003W-A,YDL123W,,,,,,
YOR339C,YOR324C,,,,,YDR312W,YDR087C,,,,,,
YPL096W,YOR358W,,,,,YDR453C,YDR101C,,,,,,
YPL213W,YPL086C,,,,,YEL049W,YDR202C,,,,,,
YPR015C,YPR068C,,,,,YEL052W,YDR357C,,,,,,
YPR067W,YPR107C,,,,,YFL041W-A,YEL019C,,,,,,
YPR101W,YPR166C,,,,,YFR047C,YFL044C,,,,,,
YPR138C,YPR182W,,,,,YHR136C,YGL117W,,,,,,
YBR018C,YAL064C-A,,,,,YHR188C,YGL231C,,,,,,
YBR217W,YCR028C-A,,,,,YIL160C,YGR066C,,,,,,
YBR258C,YCR100C,,,,,YKL190W,YGR143W,,,,,,
YCR036W,YDL027C,,,,,YLR011W,YGR154C,,,,,,
YCR090C,YDL087C,,,,,YLR068W,YHR059W,,,,,,
YDL211C,YDR003W-A,,,,,YLR395C,YHR086W-A,,,,,,
YDR087C,YDR139C,,,,,YML127W,YIL098C,,,,,,
YDR246W-A,YDR367W,,,,,YMR251W,YIL145C,,,,,,
YDR460W,YER022W,,,,,YMR267W,YJL024C,,,,,,
YDR529C,YER059W,,,,,YMR302C,YJL065C,,,,,,
YEL004W,YGL057C,,,,,YNL307C,YJR055W,,,,,,
YEL019C,YGL179C,,,,,YNL314W,YJR120W,,,,,,
YER050C,YGL233W,,,,,YNR059W,YKL023W,,,,,,
YER055C,YHL044W,,,,,YOR059C,YKL061W,,,,,,
YFR017C,YIL002C,,,,,YOR104W,YKL084W,,,,,,
YGR105W,YIL146C,,,,,YOR216C,YKL154W,,,,,,
YGR129W,YLR375W,,,,,,YLR126C,,,,,,
YGR154C,YML013W,,,,,,YLR164W,,,,,,
YGR220C,YML083C,,,,,,YLR211C,,,,,,
YHL013C,YMR286W,,,,,,YLR239C,,,,,,
YHR059W,YMR302C,,,,,,YLR449W,,,,,,
YJL024C,YNL293W,,,,,,YML054C-A,,,,,,
YJL160C,YNR050C,,,,,,YMR001C-A,,,,,,
YJR098C,YOR104W,,,,,,YMR147W,,,,,,
YJR133W,YOR186W,,,,,,YNL182C,,,,,,
YKL027W,YPL018W,,,,,,YNR068C,,,,,,
YKL061W,YPL201C,,,,,,YOL096C,,,,,,
YKL084W,YPL255W,,,,,,YOL143C,,,,,,
YLR107W,YPR127W,,,,,,YOR070C,,,,,,
YLR164W,YPR158W,,,,,,YOR130C,,,,,,
YLR190W,YPR188C,,,,,,YOR304C-A,,,,,,
YLR268W,,,,,,,YPL098C,,,,,,
YLR324W,,,,,,,YPL099C,,,,,,
YLR327C,,,,,,,YPL236C,,,,,,
YLR405W,,,,,,,YPR009W,,,,,,
YLR461W,,,,,,,YPR166C,,,,,,
YMR147W,,,,,,,YAL064C-A,,,,,,
YMR244W,,,,,,,YBR103W,,,,,,
YMR322C,,,,,,,YBR107C,,,,,,
YNL128W,,,,,,,YCL016C,,,,,,
YNL133C,,,,,,,YCR059C,,,,,,
YNL284C,,,,,,,YDR194W-A,,,,,,
YOR145C,,,,,,,YDR367W,,,,,,
YOR163W,,,,,,,YEL049W,,,,,,
YOR229W,,,,,,,YEL052W,,,,,,
YOR304C-A,,,,,,,YFL041W-A,,,,,,
YOR306C,,,,,,,YGL254W,,,,,,
YPL097W,,,,,,,YGL261C,,,,,,
YPL098C,,,,,,,YHR111W,,,,,,
YPL100W,,,,,,,YIL040W,,,,,,
YPR051W,,,,,,,YKL190W,,,,,,
YPR057W,,,,,,,YLR099W-A,,,,,,
YPR166C,,,,,,,YLR262C-A,,,,,,
YBL033C,,,,,,,YLR457C,,,,,,
YBR107C,,,,,,,YMR286W,,,,,,
YBR293W,,,,,,,YNL326C,,,,,,
YCR028C-A,,,,,,,YNR047W,,,,,,
YER022W,,,,,,,YOL032W,,,,,,
YGL179C,,,,,,,YOR212W,,,,,,
YGL254W,,,,,,,YPR158W,,,,,,
YGR180C,,,,,,,,,,,,,
YGR187C,,,,,,,,,,,,,
YGR244C,,,,,,,,,,,,,
YHR136C,,,,,,,,,,,,,
YHR148W,,,,,,,,,,,,,
YIL040W,,,,,,,,,,,,,
YIL071C,,,,,,,,,,,,,
YJR058C,,,,,,,,,,,,,
YKL190W,,,,,,,,,,,,,
YKR065C,,,,,,,,,,,,,
YKR105C,,,,,,,,,,,,,
YLR059C,,,,,,,,,,,,,
YLR099W-A,,,,,,,,,,,,,
YML077W,,,,,,,,,,,,,
YNL187W,,,,,,,,,,,,,
YOL032W,,,,,,,,,,,,,
YPL255W,,,,,,,,,,,,,
