BC187_Beneficial_Genes,BY4743_Beneficial_Genes,DBVPG1373_Beneficial_Genes,NCYC3290_Beneficial_Genes,Y12_Beneficial_Genes,Y2209_Beneficial_Genes,Y389_Beneficial_Genes,Y7568_Beneficial_Genes,YJM1273_Beneficial_Genes,YJM1389_Beneficial_Genes,YJM1592_Beneficial_Genes,YJM978_Beneficial_Genes,YPS128_Beneficial_Genes,YPS163_Beneficial_Genes
YDL178W,YLR406C,YMR078C,YLR085C,YPR188C,YGR074W,YMR276W,YOL026C,YLR116W,YNL260C,YMR272C,YER018C,YDL024C,YLR084C
YDR226W,YMR042W,YMR104C,YLR103C,,YGR249W,YNL053W,YOR136W,YLR308W,YNR057C,YOR005C,YER150W,YDL025C,YLR182W
YDR284C,YMR202W,YMR313C,YLR147C,,YHR097C,YNL180C,YPL004C,YMR188C,YOR164C,YOR184W,YJL048C,YDR147W,YML046W
YDR400W,YNL180C,YNL196C,YLR246W,,YJL118W,YNL295W,YPL157W,YNL080C,YCL001W,YDL129W,YJL112W,YDR272W,YNL248C
YGL005C,YNL230C,YNL272C,YML036W,,YJR072C,YPR070W,YBR052C,YNL124W,YDL169C,YDR145W,YJL146W,YDR518W,YPL189W
YGL126W,YPR113W,YNL312W,YML079W,,YJR135C,YBR161W,YBR053C,YNL130C-A,YDR049W,YER054C,YJL179W,YFL009W,YPL214C
YGL166W,YBR098W-1,YOL068C,YMR156C,,YKR056W,YCL002C,YBR085W,YNL168C,YDR425W,YER146W,YLR439W,YGR194C,YBL085W
YGR126W,YBR183W,YOR131C,YMR161W,,YLR270W,YDL080C,YBR090C,YNL222W,YDR508C,YFL027C,YOR107W,YJL105W,YCR073W-A
YIR011C,YDL127W,YOR155C,YDR246W-A,,YLR414C,YDL173W,YBR181C,YNL244C,YDR510W,YGR174C,YPL179W,YJL126W,YDR057W
YJL047C-A,YDL130W-A,YAR027W,YDR257C,,YMR140W,YDR284C,YBR210W,YNL325C,YGL099W,YIL099W,YPL250C,YJL167W,YDR103W
YJL116C,YDR020C,YBR077C,YEL039C,,YNL052W,YDR305C,YBR227C,YOR128C,YGL226C-A,YKL100C,YBR072W,YJR015W,YDR254W
YJL203W,YDR305C,YBR185C,YHR005C,,YOR110W,YEL041W,YBR265W,YOR278W,YJR036C,YKR035W-A,YBR146W,YJR052W,YDR285W
YJR073C,YDR384C,YDL217C,YJR025C,,YOR356W,YFR035C,YCL008C,YPL010W,YJR078W,YLL060C,YBR152W,YJR063W,YGR146C
YKR036C,YEL009C,YDR177W,YKL008C,,YPR153W,YGL015C,YDR482C,YPL033C,YKL089W,YNL131W,YBR171W,YJR150C,YKL062W
YKR066C,YER074W-A,YDR218C,YLR405W,,YBL036C,YGL162W,YEL018W,YPR108W-A,YKR026C,YOL162W,YBR214W,YKR106W,YKL194C
YLL027W,YER173W,YDR235W,YMR294W,,YBL064C,YGL210W,YER018C,YAL010C,YLL009C,YOR040W,YDL004W,YLR308W,YKR102W
YLL036C,YGL060W,YDR487C,YNL213C,,YCR083W,YIR034C,YGL025C,YBR013C,YLL033W,YOR262W,YDR272W,YMR005W,YMR017W
YLR221C,YGL146C,YFL016C,YNR066C,,YDR296W,YJL002C,YGL039W,YDL085C-A,YLR049C,YPR124W,YDR393W,YMR060C,YMR089C
YLR291C,YGR033C,YGL028C,YOL044W,,YHR032W,YJL054W,YGL090W,YDR108W,YLR093C,YBR058C-A,YGL011C,YMR168C,YMR172W
YMR194W,YGR148C,YGR233C,YOR061W,,YIR017C,YJL069C,YHL004W,YDR109C,YLR346C,YBR220C,YGL053W,YNL130C-A,YNL142W
YMR243C,YHR030C,YHR033W,YOR304C-A,,YKL013C,YJL191W,YHR007C-A,YDR362C,YNL288W,YDR259C,YGR057C,YNL222W,YNL144C
YNL009W,YHR091C,YHR049W,YPL109C,,YML035C,YJR125C,YHR024C,YFR045W,YNR040W,YDR473C,YGR084C,YNL254C,YNL245C
YNL301C,YIL093C,YIL004C,YBL033C,,YMR292W,YJR148W,YIL035C,YGL004C,YOR156C,YGL159W,YGR113W,YNL325C,YOR066W
YNR051C,YJL116C,YJL141C,YFR047C,,YNL113W,YLL063C,YIR042C,YGL168W,YPR032W,YIR004W,YGR212W,YOL002C,YOR195W
