UID	BC187_Avg_log2_Fitness_Score	BC187_FDR	BY4743_Avg_log2_Fitness_Score	BY4743_FDR	DBVPG1373_Avg_log2_Fitness_Score	DBVPG1373_FDR	NCYC3290_Avg_log2_Fitness_Score	NCYC3290_FDR	Y12_Avg_log2_Fitness_Score	Y12_FDR	Y2209_Avg_log2_Fitness_Score	Y2209_FDR	Y389_Avg_log2_Fitness_Score	Y389_FDR	Y7568_Avg_log2_Fitness_Score	Y7568_FDR	YJM1273_Avg_log2_Fitness_Score	YJM1273_FDR	YJM1389_Avg_log2_Fitness_Score	YJM1389_FDR	YJM1592_Avg_log2_Fitness_Score	YJM1592_FDR	YJM978_Avg_log2_Fitness_Score	YJM978_FDR	YPS128_Avg_log2_Fitness_Score	YPS128_FDR	YPS163_Avg_log2_Fitness_Score	YPS163_FDR	YPS606_Avg_log2_Fitness_Score	YPS606_FDR
YPL163C	#N/A	#N/A	-0.191046313	0.432451625	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.437007064	0.2944034	0.175931194	0.638586833	#N/A	#N/A	-1.562316551	0.004572657	0.507361766	0.488123312	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
YPL164C	-1.574364473	0.000011	0.249917159	0.101414678	#N/A	#N/A	0.60255562	0.958434392	-2.097750155	0.0000487	-0.566928826	0.266277962	0.141916656	0.691625208	-1.123095485	0.000581753	0.194167696	0.620721896	-1.524079259	0.0000673	-0.692914147	0.123801262	-1.470027539	0.002393784	#N/A	#N/A	0.08362209	0.756816492	-0.5024951	0.65577733
YPL165C	-0.259746003	0.076543503	-0.034076931	0.815569072	-0.7280005	0.000000382	-0.790833547	0.009706759	-1.27480812	0.0000019	0.197126235	0.474954591	-0.123521814	0.474029544	0.166121174	0.116724886	0.157287948	0.357858471	-0.366515624	0.03998269	0.200976942	0.406622787	0.297157285	0.165388919	-0.510383388	0.084644543	0.049691914	0.743732915	0.639702415	0.440278067
YPL166W	-0.036817318	0.788237077	-0.035940981	0.747170324	-1.138707466	0	0.043483744	0.891679289	-0.99440863	0.00000197	0.382927338	0.036063032	0.015128681	0.937877585	0.506196136	0	-0.22950641	0.085732065	-0.271715948	0.091603821	-0.018319889	0.941710661	0.48663217	0.001147772	0.191940817	0.414910852	-0.019622942	0.838401036	0.429346576	0.632087695
YPL168W	-0.026145474	0.874853484	-0.068607096	0.537667454	-0.444820137	0.007841846	-0.118155571	0.649251569	-0.765257968	0.002701531	0.555368949	0.02798736	-0.015676611	0.946740665	0.051805291	0.597247659	-0.085573494	0.707565156	-0.309589899	0.11445191	0.339723206	0.090550307	0.370754716	0.142858172	0.075224575	0.792486705	0.247881557	0.057916006	-0.204284331	0.838399141
YPL169C	0.569273083	0.060325447	0.029390704	0.908285424	#N/A	#N/A	0.637186074	0.142024873	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.602150231	0.103990122	1.314972832	0.254122518	#N/A	#N/A	#N/A	#N/A	0.277383741	0.610334527	#N/A	#N/A	#N/A	#N/A	-0.505330318	0.65574491
YPL170W	0.489445339	0.00000788	0.38758817	0.000000458	0.445034518	0.00000000256	0.620103322	0.004101708	-0.162710064	0.521414818	0.462073124	0.0165431	0.464378321	0.0000794	0.244450577	0.004490407	0.483510971	0.000244897	0.382573014	0.012012749	0.650651982	0.00000453	0.609786702	0.000659423	1.353959858	0	0.46727086	0.00000321	-0.397321277	0.70195294
YPL171C	-0.30643683	0.160098468	0.171418003	0.100259317	-2.572154448	0.00000955	0.661341633	0.046908897	-0.84398777	0.015270316	0.35961293	0.315929592	-0.415329391	0.130714799	0.26440807	0.160241984	-0.097250396	0.887832211	-0.94230324	0.001278782	0.07919401	0.883004369	-0.040535942	0.896571328	0.348256518	0.575670445	0.459837684	0.009614284	-1.315172956	0.262232731
YPL172C	-0.249992299	0.365556435	0.009854057	0.980283349	0.307836942	0.095567473	-1.370372101	0.009461019	-0.474228329	0.273148034	#N/A	#N/A	-0.358597303	0.301824895	-0.071036516	0.766857078	0.132495208	0.762777425	-0.575402223	0.114732838	0.154884406	0.775898635	-2.017849612	0.001756307	-0.273002868	0.723784067	0.137557983	0.577320059	#N/A	#N/A
YPL173W	0.532025864	0.000000771	0.207105545	0.02188604	-0.307082744	0.012102417	-0.266396571	0.403787218	-1.399235035	0.000000034	0.039555138	0.902953499	0.633082489	0.00000184	0.10997294	0.385795927	0.478409068	0.009096001	0.142254987	0.437173562	-0.255814568	0.279147478	0.546171993	0.001259644	0.260108304	0.341176305	-0.229182329	0.149511801	-0.518411682	0.604882096
YPL174C	-0.943692842	0.000265442	-0.935433697	0.0000000647	-4.62805684	0	-1.166811319	0.012127805	0.89124163	0.029209604	-0.313284907	0.484384699	0.468936333	0.60604488	-0.398409996	0.025898593	-1.279314414	0.391036356	0.2455955	0.343079164	0.56460212	0.401342121	-1.599474768	0.086396299	-0.208673371	0.767627738	-0.689262313	0.092434911	0.042898471	0.974152849
YPL175W	0.476071953	0.00000393	0.258302498	0.005576355	-0.009834168	0.886189395	-0.881919219	0.00097349	-1.215281226	0.00000123	-0.277189624	0.388703285	-0.204469482	0.251755883	0.067037983	0.544446957	0.145872879	0.428730167	-0.629648224	0.000535881	-0.469234212	0.016440446	0.09951848	0.710798493	-0.129705299	0.713717174	-0.374588887	0.010188375	-0.246706251	0.831398404
YPL177C	-0.165507934	0.364366313	-0.827338789	0	-2.855266748	0	0.12556494	0.65618619	-1.725676708	0.0000000153	0.822650771	0.0000474	0.166929667	0.424913584	0.515350451	0.00000526	-0.073035693	0.762408329	-0.743227038	0.000287658	0.185149213	0.585786878	0.299709705	0.351424263	-0.984153287	0.028735571	-0.001267184	0.978305067	0.081844859	0.946576789
YPL178W	-0.19069794	0.319168734	0.104923752	0.496647913	-1.028465257	0	-1.916320889	0.0000000129	-0.007835965	0.915097836	0.24969581	0.543040424	0.202154901	0.466690731	0.092252981	0.508323301	-0.245786584	0.370584027	-0.370783733	0.056141581	0.094409176	0.794065853	0.316360076	0.37360176	0.669691108	0.003933759	-0.43931233	0.059083884	0.6293163	0.492981109
YPL179W	-0.270115227	0.0565706	0.038335666	0.78239306	-2.905228075	0	-1.074910805	0.0000963	-1.89177844	0	0.066559693	0.854126312	-0.125021579	0.607773895	0.087277603	0.461301131	0.151945927	0.326669552	-0.348763531	0.05861942	-0.291437503	0.314145008	0.566671091	0.005379499	-1.849050601	0.0000573	-0.624918682	0.000113366	-0.342591992	0.736980872
YPL181W	0.278485025	0.098106669	0.225896825	0.137543764	-0.320172741	0.055329317	-0.688920703	0.059969289	-1.549139669	0.00000554	0.634135573	0.021749174	-0.074511987	0.778908945	0.156842061	0.224083054	-1.539760858	0.00000222	-0.250238572	0.204231955	-0.382371338	0.312170541	0.209105249	0.40690403	-0.097505744	0.816748825	0.053504617	0.785808885	-0.227148182	0.810120404
YPL183C	-0.111352748	0.440031744	0.127548222	0.493121874	-1.097355658	0	-2.075103302	0.0000175	-1.75566414	0.00000147	0.119278041	0.794379434	-0.911712493	0.0000156	-0.724180609	0.0000000777	-0.644399011	0.092217393	-0.36583994	0.115329311	-0.172725409	0.725593784	-0.170393106	0.586064801	-0.663003634	0.174826968	0.213935211	0.112291166	-2.504656826	0.151241176
YPL183W-A	0.185697318	0.105184645	0.571957438	0.000000000168	-0.665865392	0.00000657	0.120464578	0.649843209	-0.598270577	0.008605192	0.480293742	0.034458299	-0.190381519	0.327886006	0.37987688	0.0000326	0.519669495	0.0000172	-0.386559007	0.018718784	-0.087421137	0.721645815	-0.142584222	0.609487784	-0.082917177	0.795156836	0.136439673	0.268298761	-0.239782177	0.798052636
YPL184C	0.082472864	0.544418378	-0.151164364	0.322754862	-0.922977412	0	-1.986919376	0.00000000729	-1.475418048	0.00000000865	-0.31005426	0.176692544	-0.041905151	0.823212404	-0.008912217	0.92765977	-0.102574619	0.625516922	-0.999322657	0.0000000889	-0.406281893	0.059848577	0.275386701	0.218574232	-1.771194876	0.00000122	-0.361893269	0.010858481	0.091720764	0.938353545
YPL186C	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.981619482	0.356462558	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
YPL187W	0.803262467	0.00000000544	0.398647672	0.0000523	#N/A	#N/A	1.145196705	0.0000121	0.791642039	0.02411558	0.52097867	0.157668988	-0.201273843	0.535100494	0.514054816	0.001041079	0.341680477	0.436721897	0.12930662	0.583998837	0.495408394	0.003823528	-0.178635123	0.649980205	-0.249370429	0.679897703	-5.322858934	0	0.239900811	0.831341188
YPL188W	-0.14216745	0.254181589	0.090033511	0.342148026	0.112795293	0.1379787	-0.908583577	0.000324678	-0.795140552	0.000949409	0.085180595	0.809741242	0.336150828	0.007055818	0.090444618	0.421193031	0.451374425	0.000143118	-0.450372726	0.007836866	0.10494664	0.661869884	0.278577408	0.226227465	-0.00373994	0.997928421	0.205228945	0.085519418	-0.672941516	0.456963613
YPL189C-A	0.180648017	0.482882954	0.270189343	0.003997167	0.283082427	0.013462914	-0.004727621	0.98952661	-0.499474705	0.151328396	0.390262713	0.160555887	0.932434043	0.000000737	0.383704939	0.057655072	-1.242046633	0.001625568	0.159498795	0.413081927	0.040548991	0.902251028	0.079964132	0.838842319	0.414120279	0.305701926	0.417124898	0.001046412	#N/A	#N/A
YPL189W	-1.198443235	0.00000000113	0.019189227	0.941146361	-5.679450346	0	-1.012034356	0.00157471	0.185617229	0.299677336	-0.162149122	0.649818076	0.544320218	0.0000529	-0.554336909	0.0000227	0.062916942	0.776598735	0.201342264	0.237182678	-0.478184697	0.010612543	-1.272812986	0.0000184	-0.113967342	0.762645957	0.279515399	0.037409031	-0.224618661	0.867036842
YPL193W	0.036248655	0.791074556	-0.041715008	0.73985396	0.061277532	0.546119305	-1.077286647	0.002922966	-1.20088785	0.00000378	0.365906336	0.073282861	0.384950482	0.007118901	0.278732104	0.003155479	-0.142156742	0.31837819	-0.099834859	0.559259157	0.05697984	0.838224223	0.125005628	0.655937789	0.132960065	0.615737811	0.066174508	0.635729372	-0.243475957	0.802456846
YPL194W	-0.076155391	0.555103171	0.194945408	0.112139234	-6.139193533	0	-0.330579529	0.522286403	-1.614837776	0	0.037456483	0.92881353	0.285428678	0.025587779	-0.003922728	0.968510931	-0.193512518	0.405405181	-0.599061156	0.000401714	-0.01488816	0.941728858	-0.007534939	0.971310699	-0.623323169	0.033722049	-0.037762096	0.80588068	0.392979074	0.663553046
YPL195W	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.088695215	0.929085066	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
YPL196W	0.046450655	0.79528666	0.261881967	0.004515435	-0.039441331	0.735176537	-1.02915428	0.0000242	-1.95152211	0.000000118	0.369509657	0.217779268	0.20934817	0.379903631	0.17541791	0.271357325	-0.450176424	0.095119797	-0.763558797	0.000294429	0.429265941	0.118398783	-0.102639803	0.806707656	-0.593131271	0.293538403	0.127852909	0.424137463	0.723996794	0.40556484
YPL198W	-0.071520036	0.630617523	-0.10284284	0.370799383	-1.063051959	0	-1.863480557	0.00001	-2.975428217	0	0.016712241	0.955784144	0.196583614	0.202153032	-0.038358095	0.73572293	-1.364373563	0.000000805	-1.719675479	0	-0.764979871	0.000244575	0.28318527	0.25942671	-1.625556381	0.0000473	-1.128440658	0	-1.220839602	0.136502931
